day,shop_1,shop_2,shop_3,shop_4,mean
1,319.0,265.0,319.0,328.0,307.75
2,292.0,274.0,292.0,301.0,289.75
3,283.0,301.0,274.0,283.0,285.25
4,328.0,364.0,328.0,0.0,255.0
5,391.0,355.0,373.0,337.0,364.0
6,445.0,418.0,409.0,445.0,429.25
7,481.0,400.0,481.0,409.0,442.75
8,0.0,267.0,333.0,344.0,236.0
9,300.0,278.0,300.0,311.0,297.25
10,289.0,311.0,278.0,289.0,291.75
11,344.0,388.0,344.0,333.0,352.25
12,421.0,377.0,399.0,355.0,388.0
13,487.0,454.0,443.0,487.0,467.75
14,531.0,432.0,531.0,443.0,484.25
15,312.0,264.0,312.0,320.0,302.0
16,288.0,0.0,288.0,296.0,218.0
17,280.0,296.0,272.0,280.0,282.0
18,320.0,352.0,320.0,312.0,326.0
19,376.0,344.0,360.0,328.0,352.0
20,424.0,400.0,392.0,424.0,410.0
21,456.0,384.0,456.0,392.0,422.0
22,347.0,269.0,347.0,360.0,330.75
23,308.0,282.0,308.0,321.0,304.75
24,295.0,321.0,282.0,0.0,224.5
25,360.0,412.0,360.0,347.0,369.75
26,0.0,399.0,425.0,373.0,299.25
27,529.0,490.0,477.0,529.0,506.25
28,581.0,464.0,581.0,477.0,525.75
